BR,time,vcd,ac,ala,arg,asn,asp,cit,cys,cyst,form,fum,glc,gln,glu,gly,his,ile,lac,leu,lys,met,nh4,phe,pro,ser,succ,thr,trp,tyr,val,titer
BR1_main,4.06969697,0.019810534,-0.000279155,-0.021329823,-0.009650628,-0.03038884,-0.009093616,0.002126578,-0.016263165,-0.00658237,0.022359689,0.000420467,-0.139755371,0.000604416,-0.018179337,0.009916866,-0.004215777,-0.011091348,-0.036611131,-0.019291121,-0.015228942,-0.005379415,-0.000187314,-0.0072686,-0.008769499,-0.041101802,-0.019294977,-0.011236963,-0.00322276,-0.006470881,-0.016133024,2.47303E-05
BR1_main,4.189393939,0.01866964,-0.000217226,-0.019720216,-0.009804957,-0.03252872,-0.008858896,0.002042347,-0.015711052,-0.006823658,0.021438064,0.00041257,-0.14071707,0.000583856,-0.018367918,0.008873079,-0.004099309,-0.010905078,-0.028537824,-0.018369698,-0.014974717,-0.00533228,0.002394086,-0.007236429,-0.00775427,-0.039785021,-0.018553134,-0.011081187,-0.003319787,-0.006244453,-0.016024008,2.34257E-05
BR1_main,4.309090909,0.01767295,-0.000160717,-0.017861813,-0.009885678,-0.034523011,-0.008773413,0.001946458,-0.015137639,-0.006994497,0.020603781,0.00039755,-0.142428836,0.00056247,-0.018689818,0.00771085,-0.003990898,-0.01070944,-0.021657847,-0.017513431,-0.014721821,-0.005288826,0.004356646,-0.007181157,-0.007093107,-0.038442766,-0.017923166,-0.010964,-0.003404224,-0.006126485,-0.015747569,2.24124E-05
BR1_main,4.428787879,0.016806894,-0.000118096,-0.015882558,-0.009843955,-0.035775583,-0.008795506,0.00184965,-0.014551026,-0.007134821,0.019868101,0.000379478,-0.144677701,0.000540551,-0.019104767,0.006608936,-0.003889407,-0.010506115,-0.016030081,-0.016736783,-0.014460575,-0.005246119,0.00585799,-0.007099877,-0.006755475,-0.037077037,-0.017365365,-0.010871956,-0.003465486,-0.006082038,-0.015364947,2.16913E-05
BR1_main,4.548484848,0.016056015,-8.83368E-05,-0.013898271,-0.00967453,-0.035911941,-0.008860447,0.001759255,-0.013999122,-0.007261768,0.019254356,0.000363268,-0.147259521,0.000517625,-0.019585569,0.005651837,-0.003793828,-0.01029791,-0.011558009,-0.016049669,-0.014173143,-0.005201551,0.007034869,-0.006995082,-0.006644772,-0.03569484,-0.016847709,-0.010792825,-0.003495006,-0.006082576,-0.014946524,2.12472E-05
BR1_main,4.668181818,0.015404395,-6.71481E-05,-0.011994934,-0.0094071,-0.034968671,-0.008917239,0.001672613,-0.013500461,-0.007389097,0.018801067,0.000352034,-0.150011268,0.000493021,-0.020106269,0.004848492,-0.003703254,-0.010091516,-0.008052714,-0.015457044,-0.013834893,-0.005152832,0.007994524,-0.006873388,-0.006663689,-0.034306861,-0.016344754,-0.01071579,-0.003487518,-0.006108321,-0.01452848,2.10498E-05
BR1_main,4.787878788,0.014836479,-5.08474E-05,-0.010227199,-0.009082086,-0.033288311,-0.008999574,0.001577727,-0.013025777,-0.007508283,0.018554708,0.000346523,-0.152822963,0.000466285,-0.020626781,0.004185282,-0.003616946,-0.009893937,-0.005304423,-0.014959136,-0.013421705,-0.005098106,0.008816739,-0.006742727,-0.006742323,-0.032926816,-0.01583719,-0.010631878,-0.003442133,-0.006146232,-0.014120922,2.10551E-05
BR1_main,4.907575758,0.0143375,-3.7271E-05,-0.008619896,-0.008740162,-0.031324751,-0.009185427,0.001470016,-0.012544334,-0.007564686,0.0185271,0.000345899,-0.155636333,0.000437426,-0.021096969,0.00364493,-0.003534462,-0.009705561,-0.003124244,-0.014552476,-0.012920284,-0.005036176,0.009559211,-0.006609191,-0.006836111,-0.031571485,-0.015311888,-0.01053456,-0.003362856,-0.006187696,-0.013721697,2.12178E-05
BR1_main,5.027272727,0.013893562,-2.53792E-05,-0.007171046,-0.008417788,-0.029527342,-0.00949666,0.001361349,-0.012052834,-0.007516353,0.018610101,0.000348515,-0.158420033,0.00040692,-0.021470523,0.003206724,-0.003455397,-0.009517965,-0.001360544,-0.01422978,-0.0123331,-0.004966171,0.010261981,-0.006474868,-0.006913181,-0.030257058,-0.014760297,-0.010419116,-0.003257647,-0.006226254,-0.013323195,2.14988E-05
BR1_main,5.146969697,0.013491676,-1.46821E-05,-0.0058617,-0.008136899,-0.028229919,-0.009890316,0.001262263,-0.011566651,-0.007376226,0.018548948,0.000352678,-0.161159232,0.000375596,-0.02171435,0.002847631,-0.00337945,-0.009319601,9.56126E-05,-0.013981377,-0.01168137,-0.004887668,0.010951237,-0.006342778,-0.006949987,-0.028998766,-0.01417835,-0.010282779,-0.003136791,-0.006256686,-0.012919993,2.18654E-05
BR1_main,5.266666667,0.013119802,-4.86454E-06,-0.004668146,-0.007897773,-0.027565557,-0.010313105,0.001172283,-0.011104319,-0.007178447,0.01808312,0.000357042,-0.163846934,0.000344419,-0.021808419,0.002547207,-0.00330642,-0.009102846,0.001309194,-0.013796294,-0.011007888,-0.004800708,0.011641697,-0.006214317,-0.006936769,-0.027810213,-0.013565986,-0.010124607,-0.003010853,-0.006274668,-0.012514318,2.22877E-05
