BR,time,vcd,ac,ala,arg,asn,asp,cit,cys,cyst,form,fum,glc,gln,glu,gly,his,ile,lac,leu,lys,met,nh4,phe,pro,ser,succ,thr,trp,tyr,val,titer
BR1_main,3.710606061,0.019664484,-0.001206909,-0.033479705,-0.011644821,-0.0439378,-0.019592699,0.000580779,-0.030625957,-0.010763248,0.014164163,0.000221116,-0.171858045,-4.27183E-05,-0.030231017,0.007508203,-0.00510021,-0.013825619,-0.081093443,-0.028084787,-0.021021206,-0.006256312,-0.025584268,-0.008694466,-0.032198165,-0.049771402,-0.027032419,-0.0157191,-0.003995985,-0.014401641,-0.019497513,2.24336E-05
BR1_main,3.83030303,0.0186215,-0.001248739,-0.0318188,-0.011480715,-0.043272724,-0.016186025,0.000722609,-0.028670945,-0.011016327,0.013290538,0.000226266,-0.171064907,0.00010376,-0.02880465,0.007488849,-0.004956939,-0.013848499,-0.069950352,-0.026800157,-0.02055332,-0.006200225,-0.017641522,-0.008696562,-0.026162014,-0.047907823,-0.024570966,-0.015091222,-0.004165112,-0.013693452,-0.019068873,2.18708E-05
BR1_main,3.95,0.017454133,-0.001187064,-0.029969026,-0.011655208,-0.045035856,-0.014660955,0.00066038,-0.026824807,-0.01268178,0.012704005,0.000266401,-0.168903368,0.000243172,-0.028141714,0.00702901,-0.004829202,-0.013675504,-0.060038354,-0.025331075,-0.019896105,-0.00616326,-0.01034407,-0.008571189,-0.02400037,-0.04650959,-0.023249349,-0.014428922,-0.004370557,-0.011837895,-0.019759052,2.14372E-05
BR1_main,4.06969697,0.016163329,-0.001146645,-0.029344566,-0.012312755,-0.047161562,-0.013945299,0.000652903,-0.026825047,-0.013436936,0.012453462,0.000300073,-0.167354747,0.000229202,-0.026333542,0.005988854,-0.004684073,-0.013255388,-0.047695186,-0.024024513,-0.019067067,-0.006115146,-0.005192741,-0.008740431,-0.020169456,-0.045651196,-0.022380185,-0.013820246,-0.004397545,-0.009483064,-0.020840851,2.00754E-05
BR1_main,4.189393939,0.014737506,-0.00084177,-0.027442051,-0.012355669,-0.054666127,-0.013840265,0.000741696,-0.026269447,-0.014588542,0.012054548,0.000292755,-0.16640183,0.000228797,-0.024608136,0.004887222,-0.004544121,-0.012854588,-0.041011244,-0.022751315,-0.018679675,-0.006055136,-0.001740088,-0.008801127,-0.015583042,-0.044724548,-0.021581665,-0.013337832,-0.004323404,-0.008563355,-0.02071447,1.89137E-05
BR1_main,4.309090909,0.014060273,-0.000620256,-0.023716785,-0.012645129,-0.058177002,-0.013809539,0.000813648,-0.025098927,-0.014229505,0.011391657,0.000272894,-0.165307274,0.000221115,-0.024664461,0.004316569,-0.004406114,-0.012662556,-0.031703175,-0.0211422,-0.01808541,-0.005977292,-2.37517E-05,-0.008676257,-0.015216444,-0.043468715,-0.020773256,-0.012895623,-0.004370407,-0.008300802,-0.020441815,1.80227E-05
BR1_main,4.428787879,0.013193049,-0.000517437,-0.020862556,-0.012592597,-0.057303031,-0.013548408,0.000748102,-0.022808399,-0.013481415,0.011256333,0.000255053,-0.165192571,0.000210012,-0.024990845,0.003406482,-0.004274803,-0.012608032,-0.023357045,-0.019552754,-0.017626795,-0.005909285,0.001131118,-0.008325013,-0.015054307,-0.041917104,-0.019947664,-0.012889325,-0.004568338,-0.008073298,-0.019255149,1.66209E-05
BR1_main,4.548484848,0.012595204,-0.000421066,-0.018527855,-0.012033181,-0.057226194,-0.01387158,0.000827239,-0.022857243,-0.011965218,0.010578691,0.00024239,-0.165056412,0.000153129,-0.025180374,0.002204823,-0.004156928,-0.012517353,-0.017580598,-0.018304681,-0.017878934,-0.005829202,0.002104606,-0.008137566,-0.014844606,-0.040124833,-0.019141403,-0.013038147,-0.004573671,-0.008006737,-0.017644029,1.5554E-05
BR1_main,4.668181818,0.012212999,-0.00037854,-0.016304394,-0.01199026,-0.060117155,-0.013583733,0.000853564,-0.021968279,-0.012195725,0.010423896,0.000239121,-0.165826568,0.000115571,-0.025386353,0.001181815,-0.004029946,-0.012244369,-0.012413679,-0.017372678,-0.019259143,-0.005742319,0.002966658,-0.008148145,-0.014767545,-0.038240676,-0.018547186,-0.012924619,-0.004563663,-0.007811285,-0.016344547,1.56083E-05
BR1_main,4.787878788,0.011782918,-0.000326075,-0.013974108,-0.01153653,-0.062002865,-0.012777929,0.000729879,-0.020597414,-0.012847536,0.01129993,0.000238283,-0.168159166,9.38238E-05,-0.025353656,0.000727336,-0.003976265,-0.011956548,-0.009090741,-0.01670772,-0.019389573,-0.005664964,0.003673125,-0.008240937,-0.013990304,-0.03642989,-0.017766833,-0.012696309,-0.004340755,-0.007639408,-0.015836862,1.56444E-05
